City,Season,PM2.5 (µg/m³),PM10 (µg/m³),NO₂ (µg/m³),SO₂ (µg/m³),CO (mg/m³),O₃ (µg/m³),NH₃ (µg/m³),Temperature (°C),Humidity (%),Wind Speed (km/h),Traffic Density (veh/hr),Industrial Activity (0-100),Green Cover (%),Population Density (per km²),Waste Management Score (0-10),AQI,Outlier
Ahmedabad,Winter,129.8,161.5,45.3,36.0,2.01,28.1,26.2,14.9,75.2,11.4,5094,79.8,10.1,7197,5.5,226.8,No
Ahmedabad,Winter,123.7,170.3,66.6,25.5,2.74,39.1,19.0,15.3,74.4,8.1,6381,73.8,13.5,7289,7.7,219.1,No
Chennai,Winter,68.8,140.1,58.0,26.2,2.05,32.6,34.0,13.9,70.2,6.4,5017,48.7,16.4,8777,5.7,156.4,No
Faridabad,Summer,110.0,172.5,13.6,21.2,1.63,36.8,23.5,37.2,41.9,13.3,3911,72.1,10.3,9440,4.1,193.8,No
Surat,Winter,104.9,178.6,61.4,26.8,1.92,20.6,40.0,14.7,68.0,9.5,4132,68.1,17.9,9059,5.8,182.7,No
Nashik,Monsoon,27.1,83.7,26.3,2.1,2.19,28.4,28.5,26.9,94.8,19.6,3344,63.5,22.1,5588,6.2,93.6,No
Nashik,PostMonsoon,344.8,541.1,200.7,252.5,8.74,235.2,132.1,46.4,8.4,0.7,8436,98.7,1.6,4963,0.8,500.0,Yes
Mumbai,Winter,107.4,166.7,42.6,13.7,3.25,21.8,32.2,19.2,67.1,8.9,5068,65.8,20.0,19187,7.7,188.7,No
Vadodara,PostMonsoon,76.3,118.6,47.3,19.0,2.04,28.3,23.0,22.7,48.6,14.4,5059,84.9,15.7,6274,8.0,133.9,No
Allahabad,Monsoon,77.4,120.4,30.5,17.3,1.33,45.3,11.3,29.8,71.1,30.7,4024,50.9,10.1,8701,5.8,141.1,No
Hyderabad,Summer,52.2,81.3,46.9,16.1,1.83,40.1,20.4,33.4,30.0,12.2,3868,52.5,31.5,8386,6.7,90.1,No
Surat,PostMonsoon,59.4,113.0,48.7,16.9,2.14,51.1,31.7,22.0,54.7,16.4,4139,68.8,13.0,8954,7.4,125.9,No
Bhopal,Winter,100.1,156.2,57.6,29.9,2.11,39.4,31.4,10.7,59.6,9.9,2859,48.7,16.3,6116,7.8,173.2,No
Patna,Summer,361.7,643.9,162.9,220.9,11.69,274.8,166.8,45.4,9.9,0.7,7791,96.5,2.2,8747,0.6,500.0,Yes
Allahabad,Monsoon,76.3,103.3,34.0,16.9,0.9,50.4,19.2,25.4,73.3,31.3,3979,45.3,12.6,7166,5.8,148.4,No
Bengaluru,PostMonsoon,66.7,99.0,28.5,21.6,2.48,52.3,19.8,23.2,49.0,19.9,5957,42.6,27.7,8725,4.8,119.9,No
Faridabad,Monsoon,88.4,169.5,15.3,10.4,0.61,27.8,13.5,34.0,78.3,17.5,5416,73.4,14.5,9746,4.0,196.1,No
Coimbatore,Winter,57.3,85.6,75.8,20.3,3.16,18.9,42.0,21.9,65.9,6.4,3690,41.5,31.3,5135,8.3,83.2,No
Kanpur,Monsoon,318.7,544.8,158.7,224.2,14.22,341.5,148.2,46.4,2.3,0.4,7514,98.5,1.7,8755,1.5,500.0,Yes
Varanasi,Summer,79.4,156.3,6.0,14.4,1.78,60.5,7.3,43.7,27.6,11.3,2244,44.1,17.7,6696,7.0,164.9,No
Coimbatore,Monsoon,47.7,80.3,46.8,8.7,1.96,41.7,9.8,34.7,75.5,30.0,3713,43.5,37.8,5470,5.3,89.9,No
Meerut,Winter,365.3,673.4,238.9,259.4,11.96,319.5,158.3,46.0,3.1,0.3,7594,92.7,1.2,9014,1.1,500.0,Yes
Kolkata,Monsoon,47.7,139.8,31.4,11.5,1.11,24.2,19.5,31.6,89.7,19.5,5983,60.4,14.7,25711,5.0,162.9,No
Ludhiana,PostMonsoon,105.5,205.4,14.9,27.7,2.13,39.8,19.7,28.5,50.6,15.4,6037,62.1,10.2,6988,4.9,217.4,No
Hyderabad,Monsoon,44.5,68.9,23.3,12.2,0.26,29.3,3.5,34.5,73.8,22.5,4001,55.1,24.3,7717,6.0,82.3,No
Nagpur,Monsoon,39.5,84.1,18.0,14.7,0.2,27.2,2.5,32.1,85.3,27.6,3774,41.1,22.7,7849,6.8,105.3,No
Ghaziabad,PostMonsoon,124.1,193.7,13.2,22.3,1.84,45.7,25.4,24.9,60.7,18.3,4329,78.1,5.3,14316,5.7,222.0,No
Lucknow,Summer,118.9,172.8,43.3,24.3,1.43,56.2,18.9,38.6,40.2,15.0,4575,61.8,4.6,9787,4.2,211.2,No
Allahabad,Winter,125.4,259.4,56.2,40.2,1.49,9.2,31.6,21.9,62.9,5.8,3971,52.6,6.3,7977,8.4,279.8,No
Mumbai,Winter,116.2,188.0,53.3,17.7,2.4,41.3,43.5,13.1,55.1,5.1,3511,45.6,13.7,23910,7.4,195.1,No
Chennai,PostMonsoon,54.3,82.6,43.0,12.0,2.21,22.2,34.3,21.9,45.3,15.3,5106,53.0,30.2,9227,7.5,99.2,No
Varanasi,Winter,115.8,202.2,40.9,23.1,2.22,45.3,36.2,21.2,66.9,6.2,3984,47.1,8.8,7202,4.3,214.2,No
Ahmedabad,Monsoon,52.5,91.9,19.8,8.5,0.76,39.0,6.1,30.1,90.4,23.8,6039,57.2,11.6,9207,7.1,120.0,No
Ludhiana,Monsoon,82.5,89.0,2.0,10.8,1.12,40.2,5.5,32.1,73.2,27.1,4009,59.8,10.7,5821,4.5,150.8,No
Nashik,PostMonsoon,78.5,88.5,33.7,15.8,1.4,57.2,29.8,25.0,63.8,19.0,3352,46.0,20.6,5612,5.3,136.9,No
Agra,PostMonsoon,102.1,172.1,47.6,20.8,2.21,41.2,25.4,23.7,49.3,8.7,5051,48.2,11.8,9608,4.6,200.5,No
Amritsar,Summer,64.2,142.0,13.0,5.2,1.71,43.6,9.6,33.5,23.1,20.5,4531,56.3,10.3,8723,4.2,150.7,No
Indore,Winter,120.4,199.6,62.9,33.7,3.06,26.4,25.1,21.7,62.7,10.1,3566,39.1,13.3,6331,8.4,210.4,No
Faridabad,PostMonsoon,142.1,236.7,37.9,28.5,2.79,28.2,25.8,28.3,60.7,14.8,5478,75.1,13.5,10565,8.0,254.1,No
Chennai,Monsoon,35.4,82.5,9.7,6.2,1.8,21.3,9.4,29.1,94.7,16.7,4605,37.5,23.1,9311,8.3,85.4,No
Chennai,Winter,87.4,106.1,58.3,26.9,2.67,40.0,14.2,12.3,79.0,4.5,5410,54.3,26.0,8995,4.2,159.9,No
Nagpur,PostMonsoon,49.6,114.9,32.3,20.5,1.9,55.1,30.6,20.5,40.2,8.8,2985,63.1,20.2,7709,7.3,121.1,No
Chennai,PostMonsoon,64.9,73.8,48.9,21.1,2.11,29.6,46.9,31.2,49.5,8.4,6222,60.5,21.9,9011,5.8,132.3,No
Varanasi,Summer,92.1,105.5,30.2,18.2,2.15,37.6,12.4,43.9,27.8,10.2,3652,55.5,21.1,7045,7.4,170.1,No
Ahmedabad,Monsoon,27.4,135.6,18.8,21.6,0.1,27.6,5.9,34.2,88.8,26.2,4921,74.4,11.0,9243,7.5,145.4,No
Pune,Summer,57.5,84.1,32.7,9.4,1.59,58.0,14.2,43.3,45.4,16.9,3977,46.5,23.4,7723,5.8,90.6,No
Chennai,Monsoon,44.0,59.0,23.0,10.8,0.66,34.6,12.7,28.5,85.5,22.2,3469,60.2,24.9,6539,7.2,82.1,No
Allahabad,Summer,108.3,187.7,12.8,25.7,0.58,40.8,22.9,34.8,45.4,12.7,3719,34.3,22.6,8401,4.8,195.8,No
Delhi,Monsoon,332.8,725.9,220.9,265.0,13.21,202.8,194.2,49.3,7.2,0.3,7798,92.4,1.0,11084,1.4,500.0,Yes
Ghaziabad,Summer,130.3,135.6,30.3,12.9,1.14,48.8,26.5,41.1,42.8,22.4,5841,45.4,6.0,13289,7.0,244.8,No
Patna,PostMonsoon,130.7,211.7,49.5,20.0,2.44,17.1,35.2,31.3,58.0,12.7,3906,23.4,7.3,10576,4.0,235.2,No
Agra,Monsoon,75.6,207.3,17.3,15.3,1.28,39.6,16.7,33.5,89.8,21.5,5991,52.8,8.3,8254,8.1,227.3,No
Nashik,Summer,43.3,68.5,29.7,16.3,1.25,51.5,10.9,40.4,49.0,22.1,2352,28.5,32.5,4787,4.8,74.6,No
Indore,Summer,58.8,115.5,18.7,1.0,1.28,40.1,6.3,33.0,47.7,23.0,3680,50.5,18.7,5038,5.9,130.5,No
Kanpur,Winter,133.7,335.0,35.9,32.9,2.11,36.8,21.9,14.2,66.9,5.8,3926,95.9,8.7,8642,6.3,350.0,No
Coimbatore,Summer,51.8,75.6,26.7,31.3,1.88,36.3,34.0,32.8,23.4,16.6,3400,38.7,37.0,4974,5.4,93.3,No
Meerut,Monsoon,39.7,111.2,29.5,16.9,0.79,29.0,16.8,34.6,93.8,23.5,2312,69.7,6.5,7206,4.0,122.1,No
Ahmedabad,PostMonsoon,76.1,159.1,46.1,25.5,1.83,42.8,16.1,22.3,40.3,9.9,5995,74.4,15.6,8224,8.4,176.2,No
Patna,Monsoon,92.8,204.9,35.1,6.8,0.7,32.9,13.7,25.7,79.4,22.3,4284,54.8,6.3,10388,4.9,220.5,No
Meerut,PostMonsoon,130.4,153.0,29.5,7.6,1.62,16.6,24.0,21.2,52.4,17.1,3266,49.2,6.2,6578,5.0,229.4,No
Varanasi,PostMonsoon,102.5,181.8,35.8,14.6,2.05,43.4,12.0,25.8,42.3,15.4,3479,52.0,18.1,5377,4.9,186.1,No
Bhopal,Winter,65.6,143.1,49.1,39.9,2.54,37.4,33.1,19.2,55.2,11.5,3260,48.8,18.0,6538,5.3,144.2,No
Thane,Winter,81.4,179.7,51.8,26.5,3.58,24.1,35.8,16.2,73.9,11.9,5163,38.5,21.4,15023,3.7,192.7,No
Lucknow,Summer,101.6,157.9,25.8,18.2,2.56,42.8,21.6,33.0,43.1,16.9,3939,50.2,18.5,8353,6.9,176.3,No
Thane,Summer,47.9,117.5,15.5,24.9,1.54,31.1,31.2,39.1,46.9,14.5,6167,32.5,21.4,14845,4.9,117.4,No
Vadodara,Monsoon,37.2,111.2,29.0,14.2,1.0,41.0,20.8,32.9,93.6,20.2,4003,49.3,22.6,7071,8.3,104.4,No
Visakhapatnam,Winter,68.6,172.2,51.6,26.9,2.84,30.1,33.4,12.3,65.7,9.6,5576,67.6,28.6,7908,6.6,180.7,No
Thane,Winter,103.0,187.1,68.2,11.7,2.27,24.1,26.5,11.9,75.7,8.2,5771,55.8,23.9,14151,8.1,193.8,No
Ludhiana,Summer,97.2,132.2,12.8,10.3,1.12,24.9,16.9,43.7,27.9,14.0,3365,98.7,13.7,7742,7.9,177.0,No
Patna,Winter,206.1,250.0,44.2,12.5,2.55,31.5,24.3,18.9,66.1,11.8,4675,43.4,14.0,9359,6.7,362.5,No
Hyderabad,Monsoon,55.4,60.4,25.0,18.7,0.93,27.6,19.4,34.8,70.8,34.9,4002,51.4,23.5,7844,5.2,101.4,No
Visakhapatnam,PostMonsoon,75.7,136.2,33.3,13.1,0.72,28.4,28.4,27.3,53.0,14.5,3718,69.5,21.0,7249,4.7,151.4,No
Vadodara,PostMonsoon,85.9,133.5,31.4,20.1,1.48,29.9,13.2,23.2,48.6,8.3,3373,52.5,13.8,6909,7.5,145.0,No
Patna,Summer,98.4,103.4,18.8,20.8,1.49,59.5,15.7,33.1,50.0,21.7,5455,72.7,7.3,10530,6.8,188.6,No
Coimbatore,Winter,68.8,134.8,58.1,35.4,2.65,27.0,18.5,19.9,61.5,4.6,3900,27.0,36.8,5261,3.6,135.5,No
Thane,Summer,63.8,135.7,34.8,6.0,0.83,46.1,20.0,43.3,39.6,21.8,3931,39.0,20.9,15968,5.1,138.7,No
Coimbatore,PostMonsoon,34.7,66.6,15.7,22.8,2.9,39.9,18.0,20.1,61.1,19.7,3645,49.0,43.2,5603,3.6,69.8,No
Nagpur,Monsoon,44.3,119.1,28.9,23.3,0.1,41.9,22.0,32.1,92.5,30.7,3269,42.8,25.0,7472,4.2,130.7,No
Meerut,Winter,440.1,611.0,185.8,154.8,8.92,305.6,161.4,46.2,5.4,0.7,7565,98.9,0.9,4988,1.4,500.0,Yes
Pune,PostMonsoon,67.7,133.2,42.3,16.7,1.6,19.0,40.0,29.1,49.3,18.0,4252,50.9,22.5,8412,7.8,134.4,No
Nashik,Winter,79.0,137.6,48.9,29.4,0.96,18.7,45.3,21.5,57.3,9.9,3604,45.7,20.3,5261,3.9,145.7,No
Faridabad,PostMonsoon,123.2,170.3,38.0,20.2,2.94,26.0,26.4,25.7,50.3,13.1,4608,88.4,14.2,12397,7.8,222.8,No
Nagpur,Monsoon,37.3,63.8,37.8,9.4,1.26,44.1,1.7,27.1,87.4,26.1,4618,60.7,13.1,7666,6.2,66.3,No
Coimbatore,PostMonsoon,45.7,68.8,36.3,19.8,1.78,32.9,21.1,21.3,50.5,19.8,3912,29.6,30.4,4822,6.9,80.0,No
Kanpur,Winter,213.9,322.9,56.8,26.7,1.41,49.6,21.5,11.2,79.3,6.3,5036,88.6,8.7,7643,5.7,382.2,No
Bengaluru,PostMonsoon,40.1,58.2,25.7,13.1,2.14,49.4,25.4,22.3,50.3,18.7,4740,42.9,27.6,8453,6.9,70.4,No
Faridabad,Winter,140.9,268.5,32.2,20.9,2.87,34.4,31.4,21.2,61.4,6.8,6135,71.5,8.0,9286,7.7,287.0,No
Bengaluru,PostMonsoon,60.0,95.3,57.3,23.0,2.24,30.1,29.4,23.4,54.8,17.4,5224,52.8,32.6,7961,6.1,99.6,No
Rajkot,Summer,69.2,83.1,46.0,7.9,2.63,51.9,20.3,42.9,34.4,16.3,2975,59.1,13.4,6310,3.8,109.8,No
Nashik,Winter,57.9,149.7,9.4,15.2,2.72,29.5,37.6,12.3,63.6,9.1,2753,31.7,22.4,4954,8.1,155.9,No
Surat,PostMonsoon,92.6,134.7,168.8,17.7,1.57,73.6,27.7,48.5,61.5,15.6,8884,64.9,18.4,8454,8.2,223.6,Yes
Faridabad,Monsoon,92.0,146.0,26.8,3.8,0.26,24.3,28.5,32.1,93.5,25.0,6167,78.9,10.3,9494,6.5,163.2,No
Amritsar,PostMonsoon,98.2,192.8,42.2,16.9,1.87,24.2,20.8,30.6,48.1,13.3,4097,70.5,18.3,6287,6.6,186.0,No
Agra,Monsoon,48.5,120.8,32.3,7.7,1.12,50.9,15.2,31.7,83.8,27.6,4102,61.8,10.3,9004,6.7,139.8,No
Vadodara,PostMonsoon,85.8,120.3,60.8,20.5,1.77,35.3,15.1,29.2,47.7,9.1,4550,58.6,15.0,7576,3.9,168.4,No
Hyderabad,Summer,59.2,64.2,55.0,10.5,0.8,31.3,4.2,44.3,30.6,13.4,5007,55.0,25.8,9395,3.9,123.3,No
Amritsar,Monsoon,61.9,66.9,31.8,8.3,0.48,31.4,22.6,31.2,85.0,23.1,2885,60.9,17.3,7724,4.9,117.1,No
Hyderabad,PostMonsoon,74.0,109.9,28.5,30.0,2.28,18.1,28.5,22.0,55.7,14.0,4610,60.5,24.1,8735,6.7,137.3,No
Indore,Monsoon,43.9,89.9,36.9,25.4,1.78,30.4,14.6,25.8,70.6,29.7,3994,49.1,25.3,8574,4.6,98.5,No
Lucknow,PostMonsoon,98.4,195.0,24.5,23.5,2.9,39.2,26.0,26.7,60.2,12.1,2976,49.5,8.4,8183,7.9,192.6,No
Delhi,Monsoon,104.5,157.1,25.7,21.0,0.21,13.3,26.9,31.9,75.8,26.1,7456,47.9,10.7,13036,8.0,176.4,No
Faridabad,Summer,111.0,144.4,22.9,19.7,1.75,46.1,25.6,32.8,49.6,17.0,6465,92.4,9.0,10081,7.6,180.0,No
Chennai,PostMonsoon,70.7,80.1,46.1,15.3,1.47,37.1,20.4,21.9,47.9,13.4,4267,51.9,19.4,7922,6.2,123.9,No
Thane,PostMonsoon,84.4,119.7,27.6,24.2,2.71,25.5,27.9,26.8,48.5,16.3,4012,71.0,21.1,12513,6.8,146.8,No
Kolkata,Winter,116.4,161.5,18.9,17.4,3.08,8.0,30.1,21.8,63.3,6.2,6468,42.3,17.6,20389,5.0,207.7,No
Thane,PostMonsoon,58.9,110.0,34.4,23.1,1.59,14.3,22.1,20.4,55.7,14.6,5175,48.2,26.8,15105,5.5,114.5,No
Kolkata,Winter,125.4,152.6,72.8,27.5,1.68,28.2,16.6,18.6,56.2,11.6,4885,55.9,17.0,24862,8.2,212.9,No
Pune,Summer,40.5,90.3,30.9,4.2,1.32,28.6,8.7,43.0,30.9,24.0,5513,38.0,25.2,7181,4.3,100.2,No
Kolkata,Summer,97.2,125.3,34.7,1.4,2.69,45.9,17.4,39.8,34.2,11.0,4130,49.5,5.7,25287,5.6,173.1,No
Kolkata,PostMonsoon,78.1,178.3,28.7,2.8,2.58,32.8,23.4,29.6,55.4,9.9,6433,69.9,13.8,25878,6.2,204.6,No
Varanasi,Summer,79.5,132.2,54.3,13.7,1.25,40.1,10.0,37.7,36.8,17.3,3537,47.9,16.1,8954,8.2,140.0,No
Visakhapatnam,Monsoon,54.6,59.6,23.5,32.0,1.25,35.2,24.5,28.4,72.1,29.8,4036,62.6,26.3,7376,4.6,108.1,No
Coimbatore,Winter,63.0,96.1,72.4,17.7,2.69,67.7,33.3,20.5,55.8,7.7,1473,40.7,36.2,5029,6.7,97.0,No
Bhopal,Monsoon,37.7,55.1,29.3,12.7,1.63,24.2,30.1,33.3,84.4,33.8,4638,51.0,20.7,6120,4.3,72.9,No
Lucknow,Summer,136.5,191.7,41.2,26.7,1.99,39.1,32.5,39.7,24.0,16.0,3243,54.6,19.6,8980,5.4,231.6,No
Visakhapatnam,PostMonsoon,81.2,112.5,38.7,25.6,1.23,29.4,18.0,29.1,47.9,18.6,3570,66.7,33.0,7185,6.2,142.2,No
Ludhiana,Monsoon,39.6,90.4,26.6,8.3,2.46,26.1,19.3,28.1,91.4,31.8,3666,81.1,7.0,8595,7.1,113.9,No
Visakhapatnam,PostMonsoon,62.6,85.2,38.7,15.5,1.54,27.1,25.5,28.8,57.3,13.7,3885,68.2,24.5,7791,7.1,119.7,No
Pune,PostMonsoon,65.1,112.4,21.7,9.1,1.41,34.4,22.2,29.9,42.2,9.2,3267,49.8,18.7,7085,5.5,110.5,No
Nagpur,Winter,98.0,130.5,55.4,23.3,1.31,49.3,16.0,18.5,77.9,10.4,3890,56.2,17.2,5785,3.6,157.0,No
Nagpur,Winter,89.5,142.8,43.6,13.6,2.89,40.0,31.6,17.9,68.5,4.5,2985,35.2,24.5,6245,7.1,139.0,No
Bengaluru,Summer,42.2,63.5,39.9,12.9,1.64,46.1,30.5,34.2,40.1,18.1,5933,26.4,29.4,8688,7.8,92.0,No
Agra,PostMonsoon,78.8,211.8,34.1,17.1,2.89,34.0,8.2,27.4,41.2,19.1,4455,55.5,1.5,9140,7.8,215.5,No
Hyderabad,Monsoon,48.5,60.3,37.8,4.9,0.1,20.3,19.0,27.0,70.2,31.6,4514,42.2,25.4,9165,4.3,98.3,No
Rajkot,PostMonsoon,64.4,109.2,30.1,32.1,1.27,44.3,16.8,21.3,51.7,10.8,4262,64.5,13.1,6331,6.5,116.6,No
Surat,Monsoon,33.6,109.4,21.7,4.1,1.46,32.2,16.4,26.0,79.6,32.0,4972,74.1,12.6,8588,8.3,127.9,No
Kanpur,Summer,137.7,201.4,41.0,14.4,0.85,24.5,8.4,39.0,31.8,22.1,3902,95.0,11.6,8381,4.4,226.9,No
Kolkata,PostMonsoon,66.1,149.0,28.0,15.6,2.21,23.9,25.0,23.1,50.2,11.6,5131,72.2,11.7,21815,5.3,176.9,No
Varanasi,Monsoon,40.6,127.9,30.2,10.4,0.64,28.1,1.3,33.6,85.0,15.9,2290,42.1,12.7,8211,4.5,129.0,No
Mumbai,Winter,102.1,159.5,45.4,16.7,1.87,17.3,33.6,18.8,75.5,7.9,5387,46.2,19.6,21629,5.0,182.9,No
Surat,Monsoon,52.8,106.2,25.6,10.9,1.95,21.4,16.1,28.5,78.0,21.7,3796,77.7,18.4,7946,4.4,115.2,No
Pune,PostMonsoon,70.7,124.7,34.1,17.4,1.36,53.7,13.5,20.9,44.8,16.5,3457,44.5,21.4,8087,8.0,126.3,No
Coimbatore,Winter,68.6,110.4,50.0,32.7,2.01,57.5,29.6,21.7,75.1,7.2,3523,44.2,36.4,4914,7.5,120.4,No
Agra,Winter,152.5,304.9,38.3,30.4,2.29,27.1,41.9,13.3,77.9,11.4,3687,43.9,8.2,8356,6.0,326.2,No
Meerut,Summer,118.5,148.7,50.9,23.4,1.92,29.7,16.6,39.9,24.5,15.5,3127,80.0,12.0,7004,6.0,208.2,No
Faridabad,Winter,112.4,248.6,43.2,33.4,2.45,36.4,25.0,18.0,70.3,9.9,3827,93.2,7.2,8250,4.1,264.3,No
Rajkot,Monsoon,55.2,68.4,29.5,25.6,2.24,33.7,14.7,29.6,73.6,23.3,3101,68.1,15.0,6195,7.5,104.4,No
Allahabad,PostMonsoon,72.0,137.3,37.1,24.4,2.01,52.8,19.8,23.0,51.3,11.2,4032,62.1,12.1,8249,6.4,149.3,No
Thane,PostMonsoon,66.7,128.5,5.4,26.8,2.22,21.0,23.2,31.0,61.1,13.0,5761,49.2,17.4,11044,4.6,136.0,No
Agra,Monsoon,74.7,86.0,28.1,17.8,0.41,44.4,9.7,33.9,90.5,34.6,3819,68.9,12.4,6810,3.6,134.2,No
Rajkot,Summer,55.7,146.3,26.0,18.0,2.06,49.0,13.4,38.5,28.2,15.1,3879,54.4,13.1,5135,6.4,146.3,No
Chennai,PostMonsoon,62.0,82.6,58.3,19.0,2.09,39.5,15.5,26.0,50.9,14.9,6502,63.7,28.5,9213,7.2,97.6,No
Meerut,PostMonsoon,120.7,188.0,42.3,23.0,2.85,28.9,15.3,31.0,45.5,17.6,4763,48.3,13.4,6439,7.8,212.1,No
Amritsar,Winter,124.3,212.3,50.5,26.1,2.58,28.6,33.0,16.7,68.6,5.1,3994,43.4,12.1,7640,6.0,201.3,No
Ghaziabad,PostMonsoon,172.6,311.9,11.1,15.4,1.08,36.8,16.1,22.8,46.3,18.9,5307,67.5,3.9,11860,8.0,328.6,No
Delhi,Summer,132.7,251.3,51.7,18.7,1.72,61.5,22.8,44.7,44.1,25.0,4116,76.9,15.0,10137,4.4,251.3,No
Coimbatore,Summer,30.3,80.3,34.8,17.6,1.22,64.5,1.0,37.3,28.4,24.3,4217,41.8,30.2,6683,4.1,68.2,No
Nagpur,Summer,48.9,57.4,33.5,10.0,1.32,61.1,26.0,33.3,48.7,23.1,3537,42.3,19.6,6630,6.2,91.5,No
Kanpur,Summer,124.8,229.5,37.8,9.6,1.25,39.6,11.4,44.1,25.7,24.8,4279,91.7,8.2,8741,7.7,239.7,No
Thane,Summer,51.8,149.3,38.5,10.9,1.32,31.8,14.0,41.1,22.2,10.5,5077,35.1,10.0,13358,3.9,147.7,No
Visakhapatnam,Winter,106.5,141.5,53.5,26.6,1.53,42.7,26.8,17.1,76.1,11.1,4021,28.9,30.1,7362,3.7,184.7,No
Nashik,Summer,66.2,97.3,28.9,8.1,0.66,33.7,32.3,39.2,35.1,17.8,2806,50.5,32.0,5014,7.0,128.1,No
Bhopal,Monsoon,44.7,83.1,12.0,4.5,0.37,48.1,20.1,27.6,87.6,29.9,3978,53.1,25.1,5194,8.2,73.6,No
Thane,Monsoon,37.7,73.1,10.1,11.9,1.0,47.3,16.6,29.7,73.7,28.3,5006,34.3,20.8,15204,7.5,76.5,No
Kanpur,Summer,97.0,241.3,52.1,5.1,1.19,57.2,19.1,37.2,20.2,17.0,4291,94.4,9.8,8588,8.4,254.7,No
Mumbai,Monsoon,56.8,84.5,16.2,16.4,0.45,20.4,12.8,32.3,71.1,28.3,7650,42.4,15.2,18266,6.8,112.4,No
Delhi,Summer,139.6,181.0,37.8,21.9,2.03,70.5,8.4,40.1,29.2,23.3,9085,76.7,5.4,10471,5.6,257.3,No
Varanasi,Summer,86.7,135.3,35.5,11.9,1.02,66.3,28.7,35.3,39.1,18.6,3473,37.0,19.2,7700,7.5,152.2,No
Lucknow,PostMonsoon,111.9,184.8,40.2,13.0,1.55,15.9,19.2,20.4,56.5,9.9,6242,57.6,14.0,8519,7.8,198.9,No
Coimbatore,Winter,73.9,110.9,58.1,18.7,2.1,32.7,24.9,18.9,58.2,10.9,2468,29.4,30.2,5923,6.3,121.4,No
Surat,Summer,72.7,136.2,11.4,22.3,1.21,41.9,15.6,42.2,23.2,21.5,4484,74.5,14.7,10257,6.7,166.3,No
Varanasi,Summer,79.7,164.3,28.6,10.5,1.35,18.2,17.8,34.5,24.3,18.5,3775,32.1,8.7,9335,8.3,180.2,No
Chennai,Monsoon,25.5,77.9,16.0,17.9,1.72,43.3,24.2,34.2,81.1,24.9,6336,58.7,22.1,8437,7.8,86.5,No
Patna,Summer,82.9,165.2,18.8,17.4,0.38,55.2,17.1,41.4,29.9,14.5,4470,81.3,4.1,11459,7.0,179.0,No
Nagpur,Summer,74.5,131.0,42.7,15.7,1.94,65.9,134.4,42.7,42.6,17.6,9204,50.2,22.7,6661,8.4,159.4,Yes
Chennai,PostMonsoon,76.1,105.4,47.1,13.1,1.47,38.7,10.5,30.5,48.3,16.5,6623,70.6,30.4,8576,6.7,137.4,No
Ludhiana,PostMonsoon,95.0,143.9,37.9,25.2,3.4,13.0,11.8,20.2,52.6,14.7,5482,86.8,9.0,8486,7.8,175.7,No
Chennai,PostMonsoon,69.6,107.1,41.8,9.0,1.0,33.1,9.5,30.2,58.3,8.1,4399,44.2,25.2,8444,7.5,117.8,No
Lucknow,Monsoon,100.0,122.2,15.9,3.4,0.95,61.1,20.1,33.1,72.9,21.6,5185,46.3,15.7,9150,3.8,162.0,No
Bhopal,Monsoon,47.6,631.5,42.8,133.4,6.18,36.9,16.3,30.0,89.1,15.0,8764,38.0,22.2,7114,5.9,500.0,Yes
Thane,PostMonsoon,377.3,382.3,169.2,20.8,1.75,60.1,14.1,48.7,52.7,11.7,5808,94.1,12.8,13265,8.4,500.0,Yes
Allahabad,Summer,65.5,149.8,22.2,23.4,1.6,43.1,16.0,33.7,35.7,21.3,4790,54.2,13.2,7407,4.1,173.0,No
Hyderabad,Monsoon,42.1,62.7,37.8,22.9,0.65,17.1,13.9,28.7,91.9,25.1,3468,44.6,25.6,7987,4.8,75.3,No
Meerut,Winter,153.4,233.6,55.6,25.0,1.95,23.4,39.0,12.2,75.4,9.7,4437,89.5,6.2,6865,8.3,272.9,No
Bengaluru,Monsoon,44.9,77.8,21.5,10.6,0.65,34.5,2.9,29.3,81.0,23.6,5039,22.9,26.1,7884,5.6,90.2,No
Indore,Summer,64.1,146.4,36.6,17.6,1.48,48.1,21.3,38.3,48.5,15.0,2742,44.9,23.4,6761,6.9,141.1,No
Surat,Summer,83.3,135.8,19.7,13.4,0.54,35.2,13.1,35.6,42.8,24.8,5817,74.0,8.2,8596,5.5,148.2,No
Amritsar,Summer,61.0,111.9,37.5,19.0,0.91,46.0,18.1,38.2,40.8,15.2,3787,51.3,12.8,8116,7.3,108.6,No
Jaipur,Summer,76.6,149.1,20.2,10.2,1.01,39.8,25.5,40.5,23.7,14.4,3743,39.7,15.1,7997,7.4,144.1,No
Thane,Winter,88.6,142.5,59.7,22.7,1.69,26.9,20.4,15.8,78.2,10.0,4631,36.0,18.3,17370,6.7,164.4,No
Thane,PostMonsoon,69.2,122.8,43.3,22.4,1.78,5.0,27.0,30.8,54.2,15.0,6042,43.2,22.4,14237,4.3,132.8,No
Chennai,Monsoon,24.8,72.7,8.9,15.3,1.04,22.8,7.7,33.4,92.3,20.1,5926,40.7,19.8,8283,7.5,85.7,No
Visakhapatnam,Monsoon,54.8,84.6,25.3,4.1,1.63,27.1,10.2,32.1,83.0,25.3,4655,65.8,35.0,7338,5.6,92.5,No
